關卡,tid(命名規則 <單元>XX),內容,正確答案,類型,問題,答案,,,,,,,,,,,,,
0,0,導覽單元開始,,關卡開始,,,,,,,,,,,,,,,
0,1,成功操作「拿起」,,動作,,,,,,,,,,,,,,,
0,2,成功操作「互動」,,動作,,,,,,,,,,,,,,,
0,3,導覽單元結束,,關卡結束,,,,,,,,,,,,,,,
1,100,第一單元開始,,關卡開始,,,,,,,,,,,,,,,
1,101,單元預測,0,預測,在開始實驗前，先讓我們想想，你覺得把電線通電後，電線會不會產生磁力呢?,會/不會,,,,,,,,,,,,,
1,102,拿起磁鐵,,動作,,,,,,,,,,,,,,,
1,103,檢測磁鐵磁力,,動作,,,,,,,,,,,,,,,
1,104,因沒有動作獲得提示(1),,提示,,,,,,,,,,,,,,,
1,105,因沒有動作獲得提示(2),,提示,,,,,,,,,,,,,,,
1,106,因沒有動作獲得提示(3),,提示,,,,,,,,,,,,,,,
1,107,磁鐵是否有磁力?,0,問題,磁鐵是否有磁力?,有/沒有,,,,,,,,,,,,,
1,108,觀察磁鐵磁力線,,動作,,,,,,,,,,,,,,,
1,109,磁鐵磁力線的移動方向?,0,問題,磁鐵磁力線是如何移動的?,從N極往S極/從S極往N極,,,,,,,,,,,,,
1,110,使電線通路,,動作,,,,,,,,,,,,,,,
1,111,因沒有動作獲得提示(4),,提示,,,,,,,,,,,,,,,
1,112,檢測電線的磁力,,動作,,,,,,,,,,,,,,,
1,113,因沒有動作獲得提示(5),,提示,,,,,,,,,,,,,,,
1,114,因沒有動作獲得提示(6),,提示,,,,,,,,,,,,,,,
1,115,檢測電線的磁力線,,動作,,,,,,,,,,,,,,,
1,116,電線的磁力線是如何移動的?,1,問題,電線的磁力線是如何移動的?,順著電線直直往前流/環繞著電線流動,,,,,,,,,,,,,
1,117,第一單元結束,,關卡結束,,,,,,,,,,,,,,,
2,200,關卡開始,,關卡開始,,,,,,,,,,,,,,,
2,201,點選下一步按鈕,,動作,,,,,,,,,,,,,,,
2,202,選擇選項(會/不會),0,預測,,會/不會,,,,,,,,,,,,,
2,203,拿取漆包線,,動作,,,,,,,,,,,,,,,
2,204,連接電池,,動作,,,,,,,,,,,,,,,
2,205,拿取指北針,,動作,,,,,,,,,,,,,,,
2,206,漆包線圈靠近指北針,,動作,,,,,,,,,,,,,,,
2,207,刮除漆包線圈,,動作,,,,,,,,,,,,,,,
2,208,連接電池,,動作,,,,,,,,,,,,,,,
2,209,觸發提示,,提示,,,,,,,,,,,,,,,
2,210,觸發提示1,,提示,,,,,,,,,,,,,,,
2,211,觸發提示2,,提示,,,,,,,,,,,,,,,
2,212,觸發提示3,,提示,,,,,,,,,,,,,,,
2,213,按下A鍵觀察,,動作,,,,,,,,,,,,,,,
2,214,答對/答錯(時間/選擇選項),,,,,,,,,,,,,,,,,
2,215,連接N個迴紋針(時間,,動作,,,,,,,,,,,,,,,
2,216,拿取漆包線2,,動作,,,,,,,,,,,,,,,
2,217,連接電池2,,動作,,,,,,,,,,,,,,,
2,218,按下A鍵觀察2,,動作,,,,,,,,,,,,,,,
2,219,連接N個迴紋針2(時間,,動作,,,,,,,,,,,,,,,
2,220,答對/答錯(時間/選擇選項),,,,,,,,,,,,,,,,,
2,221,第二單元結束,,關卡結束,,,,,,,,,,,,,,,
3,300,第三單元開始,,關卡開始,,,,,,,,,,,,,,,
3,301,要求提示(1),,提示,,,,,,,,,,,,,,,
3,302,要求提示(2),,提示,,,,,,,,,,,,,,,
3,303,要求提示(3),,提示,,,,,,,,,,,,,,,
3,304,要求提示(4),,提示,,,,,,,,,,,,,,,
3,305,要求提示(5),,提示,,,,,,,,,,,,,,,
3,306,要求提示(6),,提示,,,,,,,,,,,,,,,
3,307,要求提示(7),,提示,,,,,,,,,,,,,,,
3,308,要求提示(8),,提示,,,,,,,,,,,,,,,
3,309,要求提示(9),,提示,,,,,,,,,,,,,,,
3,310,要求提示(10),,提示,,,,,,,,,,,,,,,
3,311,要求提示(11),,提示,,,,,,,,,,,,,,,
3,312,要求提示(12),,提示,,,,,,,,,,,,,,,
3,313,觀察木棒,,動作,,,,,,,,,,,,,,,
3,317,正負極互換的影響,0,問題,正負極互換的影響?,磁力線的方向改變了/磁鐵的強度改變了,,,,,,,,,,,,,
3,318,單元預測,3,預測,哪個電磁鐵磁性會最強呢?,木棒/銀棒/鋁棒/鐵棒/玻璃棒,,,,,,,,,,,,,
3,319,哪個材質可以提升電磁鐵磁力?,3,問題,哪個電磁鐵磁性會最強呢?,木棒/銀棒/鋁棒/鐵棒/玻璃棒,,,,,,,,,,,,,
3,320,第三單元結束,,關卡結束,,,,,,,,,,,,,,,
4,400,關卡開始,,關卡結束,,,,,,,,,,,,,,,
4,401,會/不會,,動作,,,,,,,,,,,,,,,
4,402,選擇選項,,預測,,會/不會,,,,,,,,,,,,,
4,403,拿漆包線,,動作,,,,,,,,,,,,,,,
4,404,連接電池,,動作,,,,,,,,,,,,,,,
4,405,拿取指北針,,動作,,,,,,,,,,,,,,,
4,406,刮除漆包線圈,,動作,,,,,,,,,,,,,,,
4,407,連接N個迴紋針,,動作,,,,,,,,,,,,,,,
4,408,圖表,,動作,,,,,,,,,,,,,,,
4,409,拿漆包線2,,動作,,,,,,,,,,,,,,,
4,410,連接電池2,,動作,,,,,,,,,,,,,,,
4,411,刮除漆包線圈2,,動作,,,,,,,,,,,,,,,
4,412,連接N個迴紋針2(時間,,動作,,,,,,,,,,,,,,,
4,413,圖表2,,動作,,,,,,,,,,,,,,,
4,414,問答1,,問題,,,,,,,,,,,,,,,
4,415,問答2,,問題,,,,,,,,,,,,,,,
4,416,拿漆包線3,,動作,,,,,,,,,,,,,,,
4,417,連接電池3,,動作,,,,,,,,,,,,,,,
4,418,刮除漆包線圈3,,動作,,,,,,,,,,,,,,,
4,419,連接N個迴紋針3(時間,,動作,,,,,,,,,,,,,,,
4,420,圖表3,,動作,,,,,,,,,,,,,,,
4,421,問答3,,問題,,,,,,,,,,,,,,,
4,422,第四單元結束,,關卡結束,,,,,,,,,,,,,,,
5,517,開頭介紹,,關卡開始,,,,,,,,,,,,,,,
5,519,四驅車組裝,,動作,,,,,,,,,,,,,,,
5,520,四驅車提示1,,提示,,,,,,,,,,,,,,,
5,521,四驅車提示2,,提示,,,,,,,,,,,,,,,
5,521,四驅車完成組裝,,動作,,,,,,,,,,,,,,,
5,522,四驅車結束,,動作,,,,,,,,,,,,,,,
5,527,風扇組裝,,動作,,,,,,,,,,,,,,,
5,528,風扇結束,,動作,,,,,,,,,,,,,,,
5,532,觀察電鈴,,動作,,,,,,,,,,,,,,,
5,534,電鈴哪個零件有電與磁,,動作,,,,,,,,,,,,,,,
5,535,拿對電鈴零件,,動作,,,,,,,,,,,,,,,
5,538,拿錯電鈴零件,,動作,,,,,,,,,,,,,,,
5,539,拆開洗衣機,,動作,,,,,,,,,,,,,,,
5,541,拿錯洗衣機零件,,動作,,,,,,,,,,,,,,,
5,542,拿對洗衣機零件,,動作,,,,,,,,,,,,,,,
5,547,拆開電話,,動作,,,,,,,,,,,,,,,
5,549,拿對電話零件,,動作,,,,,,,,,,,,,,,
5,553,拿錯電話零件,,動作,,,,,,,,,,,,,,,
5,555,觀察遙控器,,動作,,,,,,,,,,,,,,,
5,557,遙控器結束,,動作,,,,,,,,,,,,,,,
5,562,觀察檯燈,,動作,,,,,,,,,,,,,,,
5,565,檯燈結束,,動作,,,,,,,,,,,,,,,
5,569,快問快答測驗,,動作,,,,,,,,,,,,,,,
5,571,得分高,,動作,,,,,,,,,,,,,,,
5,572,得分中,,動作,,,,,,,,,,,,,,,
5,573,得分低,,動作,,,,,,,,,,,,,,,
5,574,單元結束,,關卡結束,,,,,,,,,,,,,,,
6,600,第六單元開始,,關卡開始,,,,,,,,,,,,,,,
6,601,完成線圈,,動作,,,,,,,,,,,,,,,
6,602,觀察線圈轉動,,動作,,,,,,,,,,,,,,,
6,603,自製馬達的旋轉方式?,0,問題,自製馬達的旋轉方式?,固定方向轉動/不斷變換方向的轉動,,,,,,,,,,,,,
6,604,因沒有動作獲得提示(1),,提示,,,,,,,,,,,,,,,
6,605,安裝喇叭,,動作,,,,,,,,,,,,,,,
6,606,安裝感測器,,動作,,,,,,,,,,,,,,,
6,607,安裝風扇,,動作,,,,,,,,,,,,,,,
6,608,安裝抽水馬達,,動作,,,,,,,,,,,,,,,
6,609,第六單元結束,,關卡結束,,,,,,,,,,,,,,,